director_name,director_avg_score,director_movie_count
lee toland krieger,6.6058687859504825,2.0
tim mccanlies,6.677297357379054,2.0
drew goddard,6.55684691694223,1.0
jason friedberg,4.749009055739264,4.0
paul michael glaser,6.4901802502755634,1.0
john r. leonetti,5.920154500236197,2.0
tom hanks,6.4772973573790535,2.0
kimberly peirce,6.542635187706672,3.0
liz friedlander,6.50684691694223,1.0
phil joanou,6.277297357379054,2.0
shane acker,6.5735135836088965,1.0
martha coolidge,6.373513583608896,1.0
stephen j. anderson,6.606846916942229,1.0
troy miller,5.956846916942229,1.0
tate taylor,6.76301164309334,2.0
brett leonard,6.177297357379054,2.0
alister grierson,6.373513583608896,1.0
nick hurran,6.25684691694223,1.0
charles stone iii,6.220154500236197,2.0
paul haggis,6.855135187706672,3.0
kurt wimmer,6.320154500236197,2.0
jean-françois richet,6.440180250275563,1.0
kevin hooks,6.273513583608896,1.0
ellory elkayem,6.290180250275562,1.0
niki caro,6.830135187706672,3.0
vincenzo natali,6.50456461129482,4.0
willard huyck,6.1568469169422295,1.0
gavin o'connor,6.724108150165338,5.0
bruce hunt,6.2401802502755634,1.0
chris roberts,6.0735135836088965,1.0
jee-woon kim,6.577297357379054,2.0
nick hamm,6.190180250275563,1.0
andy cadiff,6.4068469169422295,1.0
mike disa,6.190180250275563,1.0
richard j. lewis,6.606846916942229,1.0
sergio leone,7.3601201668503755,4.0
niels arden oplev,6.705868785950483,2.0
michael radford,6.56301164309334,2.0
